State,"Baked goods, cereals, and pasta",Beef and beef products,Beer,Chocolate and cocoa products,Coarse grains (including corn),Cocoa beans,Cocoa paste and cocoa butter,"Coffee, unroasted",Condiments and sauces,Dairy products,"Dextrins, peptones, and proteins",Distilled spirits,Dog and cat food,Essential oils,Ethanol (non-bev.),Food preparations,Fresh fruit - avocados,Fresh fruit - bananas,Fresh fruit - berries,Fresh fruit - other,Fresh vegetables,Fruit and vegetable juices,Industrial alcohols and fatty acids,Live animals,Mfg. tobacco,Non-alcoholic bev. (ex. juices),Nursery products and cut flowers,Oilseed meal and cake,Oilseeds,Other feeds and grain products,Other livestock products,Other meat products,Planting seeds,Pork and pork products,Poultry products and eggs,Processed fruit and vegetables,Pulses,Raw beet and cane sugar,Rice,Roasted and instant coffee,Spices,"Sugars, sweeteners, bev. bases",Tea,"Tobacco, unmanufactured",Tree nuts,Vegetable oils,Wheat,Wine and related products,Yeast and baking powder
MD,704641360.0,191301608.0,433678760.0,215225912.0,128871764.0,457148.0,1552628.0,1511050940.0,297105160.0,276655336.0,56318604.0,605421896.0,112690200.0,210979840.0,5936264.0,149398600.0,11171488.0,5428880.0,216570908.0,41516440.0,311068848.0,234248816.0,239987644.0,1267913920.0,4753248.0,177581448.0,87535852.0,139437260.0,323660396.0,219242560.0,10724276.0,1303816028.0,143543656.0,120008736.0,21156304.0,935503340.0,29602668.0,816751436.0,71043880.0,38715236.0,1434100724.0,180200584.0,174723888.0,46312.0,50944396.0,885033940.0,58524.0,285233488.0,257815576.0
ME,120715812.0,11855168.0,1383704.0,2418148.0,8347428.0,0.0,0.0,19624.0,7005476.0,12204156.0,9907380.0,106815816.0,167819484.0,9793924.0,121796.0,5969644.0,0.0,0.0,18038264.0,2282040.0,33997712.0,3618036.0,30100.0,1221541708.0,0.0,9908660.0,102109876.0,9805332.0,7776280.0,201300108.0,43722700.0,1207731548.0,122952808.0,1808440.0,0.0,291257012.0,5523436.0,0.0,28640.0,3122920.0,1618676.0,8917896.0,2799540.0,0.0,127930136.0,46047500.0,876536.0,174232244.0,10385748.0
MI,830099720.0,708315996.0,62195716.0,120296272.0,16035108.0,9676.0,1566980.0,8215652.0,65909728.0,726089812.0,48593804.0,1331426164.0,35265348.0,73735656.0,25243616.0,535855304.0,91840.0,1072700.0,184934232.0,13372212.0,2520371324.0,626464504.0,52450408.0,17845106428.0,1923432.0,655868364.0,217424580.0,410035036.0,47034028.0,328196508.0,82088452.0,17440918156.0,320190228.0,203194284.0,111361352.0,1185090876.0,15787780.0,0.0,20667144.0,89157940.0,87403852.0,700889776.0,566454376.0,47600.0,143490324.0,125150784.0,12887868.0,196252036.0,73524936.0
MN,216760644.0,114469648.0,25253300.0,74094536.0,380494372.0,0.0,200212.0,213784860.0,21035304.0,167623236.0,55752412.0,272329296.0,117060572.0,44411972.0,35844572.0,91707108.0,49401532.0,6848188.0,37378444.0,391961536.0,338457436.0,111087524.0,757912.0,2944091684.0,0.0,104452956.0,46386492.0,58032072.0,438069880.0,350646764.0,77578888.0,2040675060.0,246779492.0,25350656.0,9187056.0,493853376.0,16824832.0,13763044.0,58864936.0,8316864.0,83883848.0,283669492.0,123536800.0,0.0,26696884.0,131575656.0,111370176.0,509421196.0,64937168.0
MO,455836228.0,201649000.0,1084688828.0,85217520.0,31898480.0,1934724.0,147188056.0,38526828.0,41423408.0,186431976.0,107209052.0,463654880.0,250895736.0,10880652.0,23784400.0,154528996.0,0.0,0.0,4509272.0,3508288.0,99505396.0,176482808.0,9901332.0,2505947868.0,3967108.0,204726856.0,28847104.0,3058960.0,77068244.0,305663732.0,113860616.0,1899459716.0,102174420.0,9922720.0,5971724.0,456268100.0,18133648.0,16634876.0,58905460.0,95964936.0,204848112.0,165459976.0,171231224.0,27928.0,24352484.0,209870188.0,38263172.0,133681796.0,76724200.0
MS,232799260.0,3900232.0,0.0,11631536.0,4967768.0,0.0,0.0,26664.0,4111400.0,22195636.0,78224.0,18560044.0,1454084.0,5716380.0,0.0,7874564.0,0.0,633518080.0,1041856.0,81987340.0,2542628.0,16844612.0,14044.0,1132212588.0,0.0,15956348.0,73707512.0,0.0,6014228.0,5868280.0,10240432.0,700793028.0,10508228.0,6597132.0,4640844.0,702022636.0,7919504.0,0.0,4890916.0,129504.0,2983600.0,8740284.0,8132080.0,0.0,3982964.0,13312420.0,0.0,22337640.0,4042700.0
MT,1163840.0,1080840.0,1757328.0,685624.0,29653836.0,0.0,0.0,0.0,117116.0,590720.0,3464464.0,66608.0,30664296.0,3795236.0,0.0,190320.0,0.0,0.0,0.0,0.0,19683056.0,190320.0,575056.0,1652467120.0,27528.0,435992.0,7418496.0,4061412.0,12564176.0,90601616.0,1698640.0,1608277160.0,95802520.0,127200.0,150520.0,14322176.0,54825028.0,0.0,28861712.0,766364.0,19117796.0,190320.0,7457260.0,0.0,492116.0,7799724.0,21424776.0,2150380.0,1460028.0
NC,435677804.0,413317328.0,5057152.0,31797120.0,2006504.0,831752.0,4287424.0,26114556.0,23340692.0,362656992.0,105286208.0,138526212.0,164642176.0,66188696.0,37385776.0,237887572.0,0.0,48534180.0,27973044.0,5981292.0,142431628.0,229836944.0,156192636.0,25050142940.0,24025120.0,270458452.0,118700024.0,78968392.0,169008152.0,433371852.0,84690176.0,24565799104.0,90241960.0,59180512.0,1881524.0,493189800.0,20889932.0,183072.0,5739300.0,124377716.0,35649432.0,211913236.0,324938484.0,1039984772.0,45350096.0,128522512.0,4776500.0,432815976.0,19492940.0
ND,5756764.0,434372.0,817672.0,0.0,104515532.0,0.0,0.0,314000.0,3540648.0,3338412.0,12888212.0,2898824.0,9762068.0,45156.0,0.0,1015720.0,0.0,0.0,0.0,0.0,6815968.0,1210716.0,0.0,1635874724.0,0.0,1414784.0,1942560.0,138004.0,701476768.0,101283128.0,25566108.0,1568520680.0,337489488.0,86916.0,0.0,175743864.0,203700676.0,0.0,25246316.0,1674232.0,42596892.0,1671388.0,1351288.0,0.0,11477104.0,5992576.0,183744772.0,2455760.0,3540648.0
NE,67241312.0,208759108.0,800308.0,3239836.0,11936452.0,0.0,1276984.0,1863648.0,4766428.0,11360360.0,8774548.0,23885484.0,33639460.0,4430452.0,0.0,6615980.0,0.0,0.0,445880.0,2274432.0,30245656.0,10889996.0,69128.0,1031153444.0,0.0,7958068.0,6831940.0,497528928.0,11261180.0,130720228.0,38871620.0,574125404.0,23898360.0,36959464.0,851960.0,77977280.0,8377328.0,0.0,13275056.0,876400.0,5177252.0,8773088.0,9352960.0,0.0,6251528.0,70785612.0,13291656.0,10303840.0,152154076.0
